University,Location,Specialization
Aliah University,Kolkata,Aliah University
Bankura University,Bankura,Bankura University
Bidhan Chandra Krishi Viswavidyalaya,Nadia,
University of Burdwan,Purba Bardhaman,University of Burdwan
University of Calcutta,Kolkata,University of Calcutta
Cooch Behar Panchanan Barma University,Cooch Behar,Cooch Behar Panchanan Barma University
Diamond Harbour Women's University,Diamond Harbour,
University of Gour Banga,Malda,University of Gour Banga
Jadavpur University,Jadavpur,Jadavpur University
University of Kalyani,Kalyani,University of Kalyani
Kanyashree University,Krishnanagar,Kanyashree University
Kazi Nazrul University,Asansol,Kazi Nazrul University
Maulana Abul Kalam Azad University of Technology,Kolkata,
Netaji Subhas Open University,Kolkata,Netaji Subhas Open University
University of North Bengal,Siliguri,University of North Bengal
Presidency University,Kolkata,Presidency University
Rabindra Bharati University,Kolkata,Rabindra Bharati University
Raiganj University,Raiganj,
Rani Rashmoni Green University,Tarakeshwar,
Senate of Serampore College (University),Serampore,
Sidho Kanho Birsha University,Purulia,Sidho Kanho Birsha University
The Sanskrit College and University,Kolkata,
Uttar Banga Krishi Vishwavidyalaya,Cooch Behar,
Vidyasagar University,Midnapur,Vidyasagar University
West Bengal State University,Barasat,West Bengal State University
West Bengal University of Animal and Fishery Sciences,Kolkata,
West Bengal University of Health Sciences,Kolkata,
"West Bengal University of Teachers' Training, Education Planning and Administration",Kolkata,
