university,URLs,paths,read
Aliah University,https://www.aliah.ac.in/department/cms-page.php?key=arabic&page_key=ma-syllabus,C:/Users/User/Desktop/uni selection/scraped_data/Aliah University/url1.csv,NO
Aliah University,https://aliah.ac.in/upload/post_doc/16-04-18_1523880048.pdf,C:/Users/User/Desktop/uni selection/scraped_data/Aliah University/url2.csv,NO
Aliah University,https://www.aliah.ac.in/department/cms-page.php?key=statistics-and-informatics&page_key=pg,C:/Users/User/Desktop/uni selection/scraped_data/Aliah University/url3.csv,NO
Aliah University,https://www.aliah.ac.in/department/cms-page.php?key=biological-science&page_key=pg,C:/Users/User/Desktop/uni selection/scraped_data/Aliah University/url4.csv,NO
Aliah University,https://universitynews.in/aliah-university-courses-and-syllabus/,C:/Users/User/Desktop/uni selection/scraped_data/Aliah University/url5.csv,YES
Aliah University,https://examstime.in/aliah-university-courses-and-syllabus/,C:/Users/User/Desktop/uni selection/scraped_data/Aliah University/url6.csv,NO
Bankura University,https://www.bankurauniv.ac.in/Student_PGSyllabus.aspx,C:/Users/User/Desktop/uni selection/scraped_data/Bankura University/url1.csv,NO
Bankura University,http://www.bankurauniv.ac.in/Upload/Files/CBCS-HISTORY-PG-SYLLABUS.pdf,C:/Users/User/Desktop/uni selection/scraped_data/Bankura University/url2.csv,YES
Bankura University,https://www.bankurauniv.ac.in/Student_UGSyllabus.aspx,C:/Users/User/Desktop/uni selection/scraped_data/Bankura University/url3.csv,NO
Bankura University,http://www.bankurauniv.ac.in/Upload/Files/Syllabus_Dept.%20of%20Education.pdf,C:/Users/User/Desktop/uni selection/scraped_data/Bankura University/url4.csv,NO
Bankura University,http://bankurauniv.ac.in/Upload/Files/Detailed-Syllabus_Bankura_Univ_01_02_2016.pdf,C:/Users/User/Desktop/uni selection/scraped_data/Bankura University/url5.csv,NO
Bankura University,http://www.bankurauniv.ac.in/Upload/Files/Syllabus_Dept%20of%20English.pdf,C:/Users/User/Desktop/uni selection/scraped_data/Bankura University/url6.csv,YES
Bankura University,"https://www.bankurauniv.ac.in/Upload/Files/syllabus%20for%20PG,%20CBCS%20PATTERN,%20BKU%20Revised_Philosophy.pdf",C:/Users/User/Desktop/uni selection/scraped_data/Bankura University/url7.csv,YES
Bankura University,https://www.bankurauniv.ac.in/Acad_Courses.aspx,C:/Users/User/Desktop/uni selection/scraped_data/Bankura University/url8.csv,YES
Bankura University,https://www.bankurauniv.ac.in/Student_Admission.aspx,C:/Users/User/Desktop/uni selection/scraped_data/Bankura University/url9.csv,YES
Bankura University,https://www.bankurauniv.ac.in/,C:/Users/User/Desktop/uni selection/scraped_data/Bankura University/url10.csv,NO
Bidhan Chandra Krishi Viswavidyalaya,https://www.bckv.edu.in/bckv.php?page=f7177163c833dff4b38fc8d2872f1ec62c,C:/Users/User/Desktop/uni selection/scraped_data/Bidhan Chandra Krishi Viswavidyalaya/url1.csv,NO
Bidhan Chandra Krishi Viswavidyalaya,https://bckv.edu.in/userfiles/file/3.%20PG%20Syllabus%20Entrance%20Exam.%202019.pdf,C:/Users/User/Desktop/uni selection/scraped_data/Bidhan Chandra Krishi Viswavidyalaya/url2.csv,NO
Bidhan Chandra Krishi Viswavidyalaya,https://www.bckv.edu.in/bckv.php?page=17e62166fc8586dfa4d1bc0e1742c08b2b,C:/Users/User/Desktop/uni selection/scraped_data/Bidhan Chandra Krishi Viswavidyalaya/url3.csv,NO
Bidhan Chandra Krishi Viswavidyalaya,https://www.bckv.edu.in/bckv.php?page=c0c7c76d30bd3dcaefc96f40275bdc0a32,C:/Users/User/Desktop/uni selection/scraped_data/Bidhan Chandra Krishi Viswavidyalaya/url4.csv,NO
Bidhan Chandra Krishi Viswavidyalaya,https://www.bckv.edu.in/bckv.php?page=58a2fc6ed39fd083f55d4182bf88826dc0,C:/Users/User/Desktop/uni selection/scraped_data/Bidhan Chandra Krishi Viswavidyalaya/url5.csv,NO
Bidhan Chandra Krishi Viswavidyalaya,https://www.bckv.edu.in/bckv.php?page=642e92efb79421734881b53e1e1b18b630,C:/Users/User/Desktop/uni selection/scraped_data/Bidhan Chandra Krishi Viswavidyalaya/url6.csv,NO
Bidhan Chandra Krishi Viswavidyalaya,https://www.bckv.edu.in/bckv.php?page=3416a75f4cea9109507cacd8e2f2aefc29,C:/Users/User/Desktop/uni selection/scraped_data/Bidhan Chandra Krishi Viswavidyalaya/url7.csv,NO
Bidhan Chandra Krishi Viswavidyalaya,https://bckv.edu.in/bckv.php?page=a2557a7b2e94197ff767970b67041697bd,C:/Users/User/Desktop/uni selection/scraped_data/Bidhan Chandra Krishi Viswavidyalaya/url8.csv,NO
Bidhan Chandra Krishi Viswavidyalaya,https://www.bckv.edu.in/bckv.php?page=7eabe3a1649ffa2b3ff8c02ebfd5659fce,C:/Users/User/Desktop/uni selection/scraped_data/Bidhan Chandra Krishi Viswavidyalaya/url9.csv,YES
Bidhan Chandra Krishi Viswavidyalaya,https://examstime.in/bckv-courses-and-syllabus/,C:/Users/User/Desktop/uni selection/scraped_data/Bidhan Chandra Krishi Viswavidyalaya/url10.csv,NO
University of Burdwan,http://www.buruniv.ac.in/Syllabus.php,C:/Users/User/Desktop/uni selection/scraped_data/University of Burdwan/url1.csv,YES
