University,Location,Type,Established,Specialization
Aliah University,Kolkata,State,2008,"Arts, Sciences, Engineering, Management, Islamic Studies"
Bankura University,Bankura,State,2014,"Arts, Sciences, Law"
Bidhan Chandra Krishi Viswavidyalaya,Nadia,State,1974,"Agriculture, Horticulture and Agricultural Engineering"
University of Burdwan,Purba Bardhaman,State,1960,"Arts, Sciences, Commerce, Engineering and Law"
University of Calcutta,Kolkata,State,1857,"Arts, Sciences, Commerce, Engineering and Law"
Cooch Behar Panchanan Barma University,Cooch Behar,State,2012,"Arts, Sciences"
Diamond Harbour Women's University,Diamond Harbour,State,2013,Humanities and Basic Sciences
University of Gour Banga,Malda,State,2008,"Arts, Sciences, and Commerce"
Jadavpur University,Jadavpur,StateAutonomous,1955,"Engineering, Technology, Science, Arts and Commerce"
University of Kalyani,Kalyani,State,1960,"Arts, Sciences, Commerce and Law"
Kanyashree University,Krishnanagar,State,2020,"Arts, Sciences, and Commerce"
Kazi Nazrul University,Asansol,State,2012,"Arts, Sciences, Engineering, Law and Commerce"
Maulana Abul Kalam Azad University of Technology,Kolkata,State,2000,Engineering and Management
Netaji Subhas Open University,Kolkata,State and distance education,1998,"Arts, Sciences, and Commerce"
University of North Bengal,Siliguri,State,1962,"Arts, Sciences, Commerce, and Law"
Presidency University,Kolkata,State,1817,Arts and Sciences
Rabindra Bharati University,Kolkata,State,1962,"Arts, Fine Arts, and Performing Arts"
Raiganj University,Raiganj,State,2015,"Humanities, Science"
Rani Rashmoni Green University,Tarakeshwar,State,2020,"Science, Environmental Science"
Senate of Serampore College (University),Serampore,State,1818,Theology
Sidho Kanho Birsha University,Purulia,State,2010,Arts and Sciences
The Sanskrit College and University,Kolkata,State,2015,"Sanskrit, Languages"
Uttar Banga Krishi Vishwavidyalaya,Cooch Behar,State,2001,"Agriculture, Horticulture"
Vidyasagar University,Midnapur,State,1981,"Arts, Sciences, Commerce and Law"
West Bengal State University,Barasat,State,2008,"Arts, Sciences, Commerce and Law"
West Bengal University of Animal and Fishery Sciences,Kolkata,State,1995,Veterinary & Animal Sciences
West Bengal University of Health Sciences,Kolkata,State,2003,Medicine
"West Bengal University of Teachers' Training, Education Planning and Administration",Kolkata,State,2015,"Teachers Training, B.Ed. M.Ed"
