Course,Syllabus
Bengali,Click here
Hindi,AECC-MIL HINDI LCC-II LCC(H)-I
English,"Semester 1, 3 & 5 (H)  Semester 2, 4 & 6 (H) Semester 1, 3 & 5 (P)  Semester 2, 4 & 6 (P)"
Arabic,View old syllabus Honours(New) Programme(New)
Education,Course Structure (H) Course Structure (P) Honours Generic Elective (Ge) Programme
History,Click here
Philosophy,Click here
Geography,Honours & Programme (Old) Honours & Programme (New)
Physics,Click here
Chemistry,Click here
Mathematics,Click here
Political Science,Click here
Sanskrit,Click here
Commerce,Honors Program
Physical Education,Click here
Sociology,Honours Programme
Botany,Click here
Zoology,Click here
Economics,Honours & Programme (Old) Honours & Programme (New)
Physiology,Click here
Computer Science,Click here
Environmental Studies,Click here
BBA,Click here
