Courses,Duration
B.A.,3 years
B.Ed,1 year
B.Lib.I.Sc,As per University rules & regulation
M.A.,2 years
Master of Philosophy in women’s studies,As per University rules & regulation
B.Sc.,3 years
M.Sc,2 years
M.sc in Mathematics (evening),3 years
M.sc. in Physics (evening),3 years
M.Phil.,As per University rules & regulation
B.Ed. in Special Education,1 year
Bachelor of Architecture,5 years
B.Tech,4 years
B.Tech in civil (evening),5 years
B.Tech in Electrical Engg. (evening),5 years
B.Tech in Mechanical Engg. (evening),5 years
B.Pharmacy,4 years
B.Tech in Food tech & Bio-chem Engg.,3 years
B.Tech instrumentation & Electronics Engg,3 years
M.Tech.,2 years
M.Tech. in VLSI Design & Microelectronics Tech.,3 years
M.Tech in intelligent Automation & Robotics (evng),3 years
