1,"Aizawl Theological College, Mizoram",The PrincipalAizawl Theological CollegeMizoram Aizawl -796 001Phone: 09436351910E-mail: atc.mizoram@gmail.com;vanlal_nghaka@rediffmail.com,wordpress themes.mapouter{position:relative;text-align:right;height:150px;width:100%;}.gmap_canvas {overflow:hidden;background:none!important;height:150px;width:100%;}
2,Advanced Institute For Research on Religion And Culture (ARRC) [Prov.],"The RegistrarAdvanced Institute For Research on Religion And Culture (ARRC) [Prov.]C/o, Henry Martyn Institute, 6-3-128/1,Beside Nati Phone: E-mail: registrararrc@gmail.com",wordpress themes.mapouter{position:relative;text-align:right;height:150px;width:100%;}.gmap_canvas {overflow:hidden;background:none!important;height:150px;width:100%;}
3,"Clark Theological College, Nagaland",The PrincipalClark Theological CollegeAolijenNagaland Mokokchung -798 601Phone: 09402695009E-mail: ctcprin@gmail.com,wordpress themes.mapouter{position:relative;text-align:right;height:150px;width:100%;}.gmap_canvas {overflow:hidden;background:none!important;height:150px;width:100%;}
4,"EasternTheological College, Assam",The PrincipalEasternTheological CollegeRajabariAssam Jorhat -785 014Phone: 09435492220/09957104461 03762932045E-mail: jamirlimanaro@yahoo.com,wordpress themes.mapouter{position:relative;text-align:right;height:150px;width:100%;}.gmap_canvas {overflow:hidden;background:none!important;height:150px;width:100%;}
5,"Faith Theological Seminary, Kerala",The PrincipalFaith Theological SeminaryPathanamthitta Dist.ManakalaKerala Adoor -691551Phone: 04734 231505/9847702352E-mail: info@ftseminary.com; mstephendr@yahoo.co.uk,wordpress themes.mapouter{position:relative;text-align:right;height:150px;width:100%;}.gmap_canvas {overflow:hidden;background:none!important;height:150px;width:100%;}
6,"Federated Facultyfor ResearchinReligion& Culture(FFRRC), Kerala","The RegistrarFederated Facultyfor ResearchinReligion& Culture(FFRRC)C/o Mar Thoma Theological SeminaryKottayam - 686 001, KeralaKerala Kottayam -686 001Phone: 0481 – 2566526/ 2568083E-mail: vsvarughese@rediffmail.com",wordpress themes.mapouter{position:relative;text-align:right;height:150px;width:100%;}.gmap_canvas {overflow:hidden;background:none!important;height:150px;width:100%;}
7,"Gurukul Lutheran Theological College, Tamilnadu","The PrincipalGurukul Lutheran Theological College94, Purasawalkam High RoadKilpauk P.O.Tamilnadu Chennai -600 010Phone: 09952289235/044-52651061E-mail: gltc.principal@gmail.com",wordpress themes.mapouter{position:relative;text-align:right;height:150px;width:100%;}.gmap_canvas {overflow:hidden;background:none!important;height:150px;width:100%;}
8,"North India Institute of Post Graduate Theological Studies (NIIPGTS), West Bengal","The PrincipalNorth India Institute of Post Graduate Theological Studies (NIIPGTS)C/o, Serampore CollegeP.O. Serampore –712201, Dist. Hooghly,W.B.West Bengal Serampore -712201Phone: 033 2662 2322E-mail: niipgts@gmail.com",wordpress themes.mapouter{position:relative;text-align:right;height:150px;width:100%;}.gmap_canvas {overflow:hidden;background:none!important;height:150px;width:100%;}
9,"Nav Jyoti Post Graduate and Research Centre (NJPGRC), Haryana","The PrincipalNav Jyoti Post Graduate and Research Centre (NJPGRC)House No. 240, Sector – 9Faridabad – 121006, HaryanaHaryana Faridabad -121006Phone: 00000000000E-mail: abc@gmail.com",wordpress themes.mapouter{position:relative;text-align:right;height:150px;width:100%;}.gmap_canvas {overflow:hidden;background:none!important;height:150px;width:100%;}
10,"Tamilnadu Theological Seminary, Tamilnadu",The PrincipalTamilnadu Theological SeminaryArasaradiTamilnadu Madurai -625 010Phone: 0452 2602352/2603249/09500746182E-mail: ttsprincipal1969@gmail.com/margaret_kalaiselvi@yah,wordpress themes.mapouter{position:relative;text-align:right;height:150px;width:100%;}.gmap_canvas {overflow:hidden;background:none!important;height:150px;width:100%;}
11,"Union Biblical Seminary, Maharashtra","The PrincipalUnion Biblical SeminaryBibvewadiPune– 411 037, MaharashtraMaharashtra Pune -411 037Phone: 020–2421 1747E-mail: principal@ubs.ac.in",wordpress themes.mapouter{position:relative;text-align:right;height:150px;width:100%;}.gmap_canvas {overflow:hidden;background:none!important;height:150px;width:100%;}
12,"United Theological College, Karnataka","The PrincipalUnited Theological College63, Miller’s RoadBenson Town, Bangalore– 560 046, KarnatakaKarnataka Bangalore -560 046Phone: 080–2333 2844/ 3438/ 0502E-mail: unitedtcprincipal@gmail.com",wordpress themes.mapouter{position:relative;text-align:right;height:150px;width:100%;}.gmap_canvas {overflow:hidden;background:none!important;height:150px;width:100%;}
