Courses,Syllabus
M.Phil. in Bengali,Download
M.Phil. in Economics,Download
M.Phil. in Library and Information Science,Download
M.Phil. in Sanskrit,Download
M.Phil. in Political Science,Download
M.Phil. in Philosophy,Download
M.Phil. in Commerce,Download
M.Phil. in Hindi,Download
Master of Business Administration (Tourism),Download
M.A. in Urdu,Download
M.A. in Arabic,Download
Master in Education,Download
Master of Business Administration,Download
Master of Business Administration (Human Resource),Download
M.A. in Education,Download
Master of Library and Information Science,Download
Master of Law,Download
Master of Commerce,Download
M.A. in Sociology,Download
M.A. in Sanskrit,Download
M.A. in Bengali,Download
M.A. in Economics,Download
M.A. in English,Download
M.A. in Hindi,Download
M.A. in History,Download
M.A. in Mass Communication,Download
M.A. in Philosophy,Download
M.A. in Political Science,Download
M.Phil. in Mathematics,Download
M.Sc. in Physics,Download
M.Sc. in Zoology,Download
M.A./M.Sc. in Geography,Download
M.Sc. in Microbiology,Download
M.Sc. in Environmental Science,Download
M.Sc. in Chemistry,Download
M.Sc. in Botany,Download
M.Sc. in Biotechnology,Download
M.A./M.Sc. in Mathematics,Download
M.Sc. in Geospatial Science,Download
