SL. No.,Subject,Course
1,Physiology,Honours & General
2,English,Honours & General
3,Linguistics,Honours & General
4,Hindi,Honours & General
5,Bengali (MIL),----------
6,Bengali,Honours & General
7,Geography,Honours & General
8,Journalism & M.C.,Honours & General
9,Psychology,Honours & General
10,Sanskrit,Honours
10.a,Sanskrit,General
11,Electronics,Honours & General
12,Philosophy,Honours & General
13,Physics,Honours & General
14,Bio-Chemistry,Honours
15,Geology,Honours
16,Statistics,Honours & General
17,Chemistry,Honours & General
18,Zoology,Honours & General
19,Anthropology,Honours & General
20,Botany,Honours & General
21,Human Development,Honours & General
22,Microbiology,Honours
23,Sociology,Honours & General
24,Urdu,Honours & General
25,Urdu MIL,-----------
26,History (AIWH),Honours & General
27,History,Honours & General
28,Education,Honours & General
29,Food & Nutrition,Honours
30,Persian,Honours & General
31,Commerce,Honours & General
32,Economics,Honours & General
33,Mathametics,Honours & General
34,Political Science,Honours
35,Fashion & Apparel Design  (Detailed information on course structure and contacts ),3 year Degree Course
