Sl. No,Title
1,Nutrition and Dietetics
2,Biochemistry
3,Biotechnology
4,Education
5,MBA
6,English
7,Political Science
8,Biomedical Laboratory Science and Management
9,Economics
10,Philosophy and the Life-world
11,Clinical Nutrition and Dietetics
12,Hindi
13,Computer Science
14,Master of Library and Information Science
15,Geography and Environment Management
16,Fishiries Science
17,Anthropology
18,Sociology
19,Botany
20,Sanskrit
21,Chemistry & Chemical Technology
22,Bengali
23,Remote sensing and Geographic Information System
24,Zoology
25,Electronics
26,Applied Mathematics with Oceanology and Computer Programming
27,Commerce
28,Physics & Technophysics
29,Microbiology
30,Human Physiology
31,History
